algorithm,distribution,input_size,k,trials,average_time_ms,minimum_time_ms,maximum_time_ms
Deterministic Select,random,100,50,5,0.029442,0.026583,0.036667
Randomized Quickselect,random,100,50,5,0.017367,0.012042,0.019459
Deterministic Select,random,500,250,5,0.153317,0.129417,0.2305
Randomized Quickselect,random,500,250,5,0.1515,0.052625,0.3025
Deterministic Select,random,1000,500,5,0.574075,0.268208,0.915708
Randomized Quickselect,random,1000,500,5,0.112191,0.101958,0.13
Deterministic Select,random,5000,2500,5,1.376859,1.268292,1.608584
Randomized Quickselect,random,5000,2500,5,0.55915,0.431834,0.741625
Deterministic Select,random,10000,5000,5,2.975483,2.459875,3.553708
Randomized Quickselect,random,10000,5000,5,1.075625,0.667125,1.361167
Deterministic Select,sorted,100,50,5,0.023292,0.021541,0.028417
Randomized Quickselect,sorted,100,50,5,0.0134,0.008833,0.017708
Deterministic Select,sorted,500,250,5,0.105383,0.102334,0.110083
Randomized Quickselect,sorted,500,250,5,0.048983,0.042625,0.058417
Deterministic Select,sorted,1000,500,5,0.218292,0.204458,0.249417
Randomized Quickselect,sorted,1000,500,5,0.107825,0.070709,0.127833
Deterministic Select,sorted,5000,2500,5,1.257942,0.994458,1.794625
Randomized Quickselect,sorted,5000,2500,5,0.469742,0.241958,0.675959
Deterministic Select,sorted,10000,5000,5,2.292734,2.181667,2.41075
Randomized Quickselect,sorted,10000,5000,5,0.870817,0.687083,1.207542
Deterministic Select,reverse_sorted,100,50,5,0.025358,0.023917,0.0295
Randomized Quickselect,reverse_sorted,100,50,5,0.012233,0.00825,0.015042
Deterministic Select,reverse_sorted,500,250,5,0.106983,0.097458,0.116042
Randomized Quickselect,reverse_sorted,500,250,5,0.055025,0.046417,0.063666
Deterministic Select,reverse_sorted,1000,500,5,0.225358,0.213084,0.266083
Randomized Quickselect,reverse_sorted,1000,500,5,0.116925,0.055417,0.193583
Deterministic Select,reverse_sorted,5000,2500,5,1.07285,1.031583,1.168459
Randomized Quickselect,reverse_sorted,5000,2500,5,0.565083,0.398542,0.848291
Deterministic Select,reverse_sorted,10000,5000,5,2.17885,2.136791,2.232333
Randomized Quickselect,reverse_sorted,10000,5000,5,1.231859,0.8635,2.079167
Deterministic Select,duplicate_heavy,100,50,5,0.020283,0.018166,0.026292
Randomized Quickselect,duplicate_heavy,100,50,5,0.008034,0.004625,0.011084
Deterministic Select,duplicate_heavy,500,250,5,0.052467,0.049917,0.0595
Randomized Quickselect,duplicate_heavy,500,250,5,0.046983,0.030708,0.071666
Deterministic Select,duplicate_heavy,1000,500,5,0.1007,0.097,0.105083
Randomized Quickselect,duplicate_heavy,1000,500,5,0.093992,0.060625,0.116708
Deterministic Select,duplicate_heavy,5000,2500,5,0.550325,0.50125,0.678916
Randomized Quickselect,duplicate_heavy,5000,2500,5,0.489392,0.32825,0.71875
Deterministic Select,duplicate_heavy,10000,5000,5,1.039241,0.99525,1.068666
Randomized Quickselect,duplicate_heavy,10000,5000,5,0.606708,0.352375,1.19
